route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"2683","GMB","62","SIU SAI WAN (CHEERFUL GARDEN) - HENG FA CHUEN PUBLIC TRANSPORT INTERCHANGE(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2683&lang=EN"
"2684","GMB","62A","SIU SAI WAN (ISLAND RESORT) PUBLIC TRANSPORT INTERCHANGE - HENG FA CHUEN PUBLIC TRANSPORT INTERCHANGE","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2684&lang=EN"
"2685","GMB","76B","UNITED CHRISTIAN HOSPITAL - LAM TIN TRANSPORT INTERCHANGE (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2685&lang=EN"
"2686","GMB","8X","BAGUIO VILLAS (LOWER) - CENTRAL (EXCHANGE SQUARE)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2686&lang=EN"
"2687","GMB","83A","NINA TOWER - ON YAM ESTATE (ON CHIT STREET)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2687&lang=EN"
"2694","GMB","43M","CORONATION - YAUMATEI STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2694&lang=EN"
"2695","GMB","22A","LOK WAH ESTATE - KWUN TONG  FERRY (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2695&lang=EN"
"2696","GMB","12","DAVIS STREET - SAI YING PUN (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2696&lang=EN"
"2697","GMB","14M","CAUSEWAY BAY (LAN FONG ROAD) - MOORSOM ROAD (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2697&lang=EN"
"2698","GMB","20R","TAI PO MARKET STATION - WU KAU TANG","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2698&lang=EN"
"2704","GMB","43M","PARK AVENUE - YAUMATEI STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2704&lang=EN"
"2705","GMB","43M","PARK AVENUE - YAUMATEI STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2705&lang=EN"
"2707","GMB","43M","PARK AVENUE - YAUMATEI STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2707&lang=EN"
"2708","GMB","77B","TIN SHUI WAI - SUN YUEN LONG CENTRE","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2708&lang=EN"
"2709","GMB","73","TONG TAU PO TSUEN - YUEN LONG(KAU YUK ROAD)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2709&lang=EN"
"2611","GMB","56C","FANLING STATION - SIU HANG TSUEN","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2611&lang=EN"
"2612","GMB","58A","ABERDEEN (WU NAM STREET) - KENNEDY TOWN STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2612&lang=EN"
"2613","GMB","618","TIN SHUI WAI (TIN YAN ESTATE) - SHENZHEN BAY PORT","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2613&lang=EN"
"2614","GMB","65A","WONG NAI TAU - SHA TIN CENTRAL","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2614&lang=EN"
"2615","GMB","6X","HUNG HOM (WHAMPOA GARDEN) - TSIM SHA TSUI (HANKOW ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2615&lang=EN"
"2622","GMB","34S","SAU MAU PING (UPPER) BUS TERMINUS - KWUN TONG (YUE MAN SQUARE) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2622&lang=EN"
"2631","GMB","481B","TSUEN WAN CENTRAL - TUNG LO WAN HILL ROAD, TAI WAI","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2631&lang=EN"
"2632","GMB","23S","TAI PO MARKET STATION - TA TIT YAN","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2632&lang=EN"
"2633","GMB","34A","HA TSUEN - LAU FAU SHAN","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2633&lang=EN"
"2634","GMB","811S","SUI WO COURT PHASE I - YIU ON (HANG HONG STREET)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2634&lang=EN"
"2641","GMB","77A","TIN SHUI WAI NORTH (GRANDEUR TERRACE) - POK OI HOSPITAL","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2641&lang=EN"
"2642","GMB","77P","TIN YIU ESTATE - LOK MA CHAU (SAN TIN) PUBLIC TRANSPORT INTERCHANGE","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2642&lang=EN"
"2645","GMB","26X","LAGUNA VERDE - JORDAN (FERRY STREET) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2645&lang=EN"
"2646","GMB","79S","KING TUNG STREET - LUNG CHEUNG ROAD (DIAMOND HILL STATION) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2646&lang=EN"
"2654","GMB","31A","TONG YAN SAN TSUEN - YEUN LONG PLAZA (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2654&lang=EN"
"2662","GMB","611P","SHAN PUI ROAD - ON SHUN STREET(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2662&lang=EN"
"2667","GMB","67A","SHEK MUN ESTATE - SHA TIN  STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2667&lang=EN"
"2668","GMB","59B","ABERDEEN (TUNG SING ROAD) - SHUM WAN ROAD PUBLIC TRANSPORT TERMINUS (VIA GRANTHAM HOSPITAL) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2668&lang=EN"
"2670","GMB","44S","HOI LAI ESTATE - CASTLE PEAK ROAD(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2670&lang=EN"
"2672","GMB","611B","KWAN LOK LANE - YUEN LONG STATION (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2672&lang=EN"
"2678","GMB","43S","TUEN MUN TOWN CENTRE (HO PONG STREET) - SO KWUN WAT (NIM WAN)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2678&lang=EN"
"2679","GMB","27A","PAK SHEK KOK (PROVIDENCE BAY) - SHA TIN (PAI TAU STREET)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2679&lang=EN"
"2680","GMB","28S","BAGUIO VILLA (UPPER) - CAUSEWAY BAY (SUN WUI ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2680&lang=EN"
"2681","GMB","11B","HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (NORTH STATION) - CHOI HUNG STATION (LUNG CHEUNG ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2681&lang=EN"
"2682","GMB","11B","HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (SOUTH STATION) - CHOI HUNG STATION (LUNG CHEUNG ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2682&lang=EN"
"2688","GMB","91A","LAI KONG STREET - KWAI FONG STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2688&lang=EN"
