route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"8182","NWFB","682B","水泉澳邨 - 柴灣(東)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=682B&dsmode=1&l=0"
"8183","KMB","N73","沙田市中心 - 落馬洲總站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=N73&lang=zh-hk"
"8184","KMB","203C","尖沙咀東(麼地道) - 大坑東","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=203C&lang=zh-hk"
"8185","KMB","82B","美田 - 大圍鐵路站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=82B&lang=zh-hk"
"8186","NLB","B2X","天耀邨 - 深圳灣口岸","3","http://www.newlantaobus.com/route/"
"8187","KMB","82B","大圍站 - 美松苑(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=82B&lang=zh-hk"
"8195","KMB","88X","火炭站 - 平田(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=88X&lang=zh-hk"
"8196","KMB","88X","火炭站 - 平田(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=88X&lang=zh-hk"
"8197","KMB","82C","廣源巴士總站 - 香港科學園第三期","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=82C&lang=zh-hk"
"8198","KMB","287X","水泉澳總站 - 佐敦(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=287X&lang=zh-hk"
"8199","KMB","T270","粉嶺(祥華) - 尖沙咀(麼地道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=T270&lang=zh-hk"
"8200","KMB","T277","上水 - 藍田站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=T277&lang=zh-hk"
"8207","KMB","64S","上村球場 - 錦上路站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=64S&lang=zh-hk"
"8208","KMB","251B","八鄉路 - 上村(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=251B&lang=zh-hk"
"8209","KMB","274X","觀塘碼頭 - 大埔中心","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=274X&lang=zh-hk"
"8210","KMB","299X","西貢 - 沙田市中心(經沙角尾)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=299X&lang=zh-hk"
"8211","NWFB","682C","沙田第一城 - 北角 (經西灣河)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=682C&dsmode=1&l=0"
"8212","NWFB","682C","沙田第一城 - 北角(經廣源)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=682C&dsmode=1&l=0"
"8130","KMB","15X","藍田(廣田邨) - 紅磡鐵路站","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=15X&lang=zh-hk"
"8131","KMB","968X","元朗(西)總站 - 鰂魚涌(英皇道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=968X&lang=zh-hk"
"8132","CTB","19","小西灣 (藍灣半島) - 大坑道","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=19&dsmode=1&l=0"
"8133","CTB","19P","筲箕灣 - 大坑道","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=19P&dsmode=1&l=0"
"8134","KMB","272A","大學站 - 白石角(循環線)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=272A&lang=zh-hk"
"8135","KMB","281M","新田圍 - 九龍塘(沙福道)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=281M&lang=zh-hk"
