route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"8636","CTB","B5","港珠澳大桥香港口岸 - 欣澳站(不经迪士尼乐园)","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=B5&dsmode=1&l=2"
"8637","KMB","936A","石围角 - 铜锣湾(棉花路)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=936A&lang=zh-cn"
"8638","LWB","NA31","港珠澳大桥香港口岸 - 荃湾(如心广场)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=NA31&lang=zh-cn"
"8644","KMB+CTB","982X","金钟(东)总站 - 愉翠苑","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=982X&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=982X&dsmode=1&l=2"
"8645","NLB","39M","满东邨 - 东涌港铁站(循环线)","3","http://www.newlantaobus.com/route/"
"8646","KMB","6F","丽阁 - 九龙城码头","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=6F&lang=zh-cn"
"8647","LWB","E32","机场博览馆 - 葵芳(南)总站(经航天城交汇处)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=E32&lang=zh-cn"
"8648","LWB","N31","机场(地面运输中心) - 荃湾(愉景新城)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=N31&lang=zh-cn"
"8655","NWFB","27","北角码头 - 宝马山","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=27&dsmode=1&l=2"
"8656","KMB+CTB","307","大埔中心 - 上环","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=307&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=307&dsmode=1&l=2"
"8657","KMB","73X","荃湾(如心广场) - 富善邨(经大埔中心)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=73X&lang=zh-cn"
"8658","KMB","73X","广福街市 - 荃湾(如心广场)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=73X&lang=zh-cn"
"8659","NWFB","15R","海洋公园 - 山顶","3","http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=15R&dsmode=1&l=2"
"8660","PI","NR330A","马湾(东湾巴士总站) - 青衣站","3","https://www.td.gov.hk/filemanager/sc/content_4796/nr330ac.pdf"
"8665","KMB+NWFB","680P","乌溪沙站 - 金钟站(东)","3","http://search.kmb.hk/KMBWebSite/?action=routesearch&route=680P&lang=zh-cn|http://mobile.nwstbus.com.hk/nwp3/?f=1&ds=680P&dsmode=1&l=2"
